(30 b7 01 02) 340 4  (c5 d0 18 30) 384 4  724 8
(a7 f3 01 02) 392 4  (07 15 20 40) 332 4  724 8
(b6 e2 01 02) 384 4  (62 70 20 40) 340 4  724 8
(58 c4 01 02) 380 4  (b0 4b 02 04) 344 4  724 8
(26 72 01 02) 392 4  (4a 58 20 40) 332 4  724 8
(20 8b 01 02) 352 4  (18 f6 70 e0) 372 4  724 8
(2b 7f 01 02) 400 4  (29 3b 20 40) 324 4  724 8
(94 c0 01 02) 368 4  (a8 ba 20 40) 356 4  724 8
(bf e3 01 02) 380 4  (18 22 14 28) 348 4  728 8
(66 be 01 02) 392 4  (2b 18 28 50) 336 4  728 8
(5f bd 01 02) 376 4  (bf b1 04 08) 352 4  728 8
(b9 bb 01 02) 364 4  (b9 bb 01 02) 364 4  728 8
(11 bb 01 02) 364 4  (ca 02 40 80) 364 4  728 8
(04 ae 01 02) 340 4  (c3 0b 40 80) 388 4  728 8
(a6 dd 01 02) 408 4  (08 20 34 68) 320 4  728 8
(59 f4 01 02) 444 4  (8d ac 08 10) 284 4  728 8
(6b c6 01 02) 380 4  (de ff 08 10) 348 4  728 8
(6c e6 01 02) 384 4  (02 10 4a 94) 344 4  728 8
(05 07 01 02) 364 4  (05 07 01 02) 364 4  728 8
(21 23 01 02) 364 4  (21 23 01 02) 364 4  728 8
(ad bb 01 02) 352 4  (c6 e0 30 60) 376 4  728 8
(08 56 01 02) 300 4  (97 20 cb 55) 428 4  728 8
(7b 99 01 02) 384 4  (2f 21 04 08) 344 4  728 8
(28 2a 01 02) 364 4  (28 2a 01 02) 364 4  728 8
(56 b4 01 02) 368 4  (9b 95 04 08) 360 4  728 8
(54 f9 01 02) 404 4  (e5 c4 08 10) 324 4  728 8
(5b b9 01 02) 360 4  (af a1 04 08) 368 4  728 8
(28 60 01 02) 328 4  (01 bd 9c fb) 400 4  728 8
(40 a2 01 02) 368 4  (c3 cd 04 08) 360 4  728 8
(21 8c 01 02) 380 4  (cb ea 08 10) 348 4  728 8
(0e 18 01 02) 336 4  (e3 c5 30 60) 392 4  728 8
(0e d6 01 02) 384 4  (73 40 28 50) 344 4  728 8
(2a 7e 01 02) 416 4  (09 1b 20 40) 316 4  732 8
(af fb 01 02) 384 4  (c4 d6 20 40) 348 4  732 8
(18 b1 01 02) 352 4  (05 02 38 70) 380 4  732 8
(2b ac 01 02) 356 4  (6e 7b 18 30) 376 4  732 8
(05 51 01 02) 392 4  (a0 b2 20 40) 340 4  732 8
(30 64 01 02) 352 4  (cf dd 20 40) 380 4  732 8
(24 a3 01 02) 380 4  (e6 f3 18 30) 352 4  732 8
(66 e1 01 02) 388 4  (19 0c 18 30) 344 4  732 8
(0a e9 01 02) 372 4  (08 0a 6b d6) 360 4  732 8
(b8 ec 01 02) 392 4  (61 73 20 40) 340 4  732 8
(1c 80 01 02) 348 4  (38 c3 02 04) 384 4  732 8
(0c 25 01 02) 360 4  (50 7f 0c 18) 372 4  732 8
(05 e6 01 02) 356 4  (04 06 6b d6) 376 4  732 8
(16 42 01 02) 368 4  (85 97 20 40) 364 4  732 8
(34 60 01 02) 352 4  (4f 5d 20 40) 380 4  732 8
(10 c2 01 02) 308 4  (eb 5b f3 25) 424 4  732 8
(2b b0 01 02) 356 4  (02 12 21 42) 376 4  732 8
(4c d0 01 02) 372 4  (98 63 02 04) 360 4  732 8
